episode,episode_reward,loss,avg_reward_100,max_reward,episode_steps,timestamp
110,-1.000,-0.162277,4.940,16.000,37,2026-03-17T20:47:27.083638
111,16.000,-0.100976,5.110,16.000,625,2026-03-17T20:47:27.165144
112,16.000,-0.102139,5.280,16.000,625,2026-03-17T20:47:27.243949
113,12.000,-0.160704,5.410,16.000,84,2026-03-17T20:47:27.270482
114,5.000,-0.145418,5.420,16.000,58,2026-03-17T20:47:27.283938
115,12.000,-0.163213,5.550,16.000,84,2026-03-17T20:47:27.310281
116,12.000,-0.170894,5.680,16.000,85,2026-03-17T20:47:27.336631
117,13.000,-0.168338,5.820,16.000,92,2026-03-17T20:47:27.350412
118,16.000,-0.100781,5.990,16.000,625,2026-03-17T20:47:27.444165
119,-1.000,-0.152445,5.990,16.000,37,2026-03-17T20:47:27.457370
120,-1.000,-0.148703,5.940,16.000,37,2026-03-17T20:47:27.457370
121,-1.000,-0.151226,5.890,16.000,37,2026-03-17T20:47:27.470823
122,-1.000,-0.160100,5.890,16.000,37,2026-03-17T20:47:27.490520
123,5.000,-0.157100,5.950,16.000,57,2026-03-17T20:47:27.513059
124,16.000,-0.112885,6.120,16.000,625,2026-03-17T20:47:27.590733
125,5.000,-0.154468,6.180,16.000,58,2026-03-17T20:47:27.617348
126,5.000,-0.155634,6.160,16.000,58,2026-03-17T20:47:27.630524
127,5.000,-0.156118,6.220,16.000,58,2026-03-17T20:47:27.643992
128,5.000,-0.161276,6.280,16.000,58,2026-03-17T20:47:27.670103
129,5.000,-0.164596,6.340,16.000,58,2026-03-17T20:47:27.683807
130,5.000,-0.166533,6.400,16.000,58,2026-03-17T20:47:27.697200
131,16.000,-0.105444,6.490,16.000,625,2026-03-17T20:47:27.790716
132,7.000,-0.200823,6.510,16.000,69,2026-03-17T20:47:27.804100
133,7.000,-0.198148,6.590,16.000,69,2026-03-17T20:47:27.830809
134,7.000,-0.202667,6.670,16.000,69,2026-03-17T20:47:27.844219
135,-1.000,-0.155060,6.670,16.000,37,2026-03-17T20:47:27.857362
136,-1.000,-0.152827,6.520,16.000,37,2026-03-17T20:47:27.870646
137,-1.000,-0.158276,6.370,16.000,37,2026-03-17T20:47:27.870646
138,4.000,-0.098933,6.270,16.000,50,2026-03-17T20:47:27.897424
139,16.000,-0.112229,6.440,16.000,625,2026-03-17T20:47:27.977451
140,14.000,-0.185809,6.590,16.000,94,2026-03-17T20:47:28.010114
141,14.000,-0.185130,6.740,16.000,94,2026-03-17T20:47:28.030786
142,12.000,-0.181578,6.720,16.000,84,2026-03-17T20:47:28.057599
143,12.000,-0.183520,6.770,16.000,84,2026-03-17T20:47:28.070637
144,14.000,-0.193669,6.840,16.000,94,2026-03-17T20:47:28.097578
145,16.000,-0.119362,7.010,16.000,625,2026-03-17T20:47:28.177403
146,16.000,-0.119533,7.180,16.000,625,2026-03-17T20:47:28.273689
147,-1.000,-0.152479,7.180,16.000,37,2026-03-17T20:47:28.289767
148,-1.000,-0.151337,7.120,16.000,37,2026-03-17T20:47:28.297599
149,-1.000,-0.157858,7.050,16.000,37,2026-03-17T20:47:28.310834
150,16.000,-0.126053,7.140,16.000,625,2026-03-17T20:47:28.390803
151,16.000,-0.129186,7.230,16.000,625,2026-03-17T20:47:28.492827
152,5.000,-0.138775,7.210,16.000,58,2026-03-17T20:47:28.511555
153,5.000,-0.143438,7.270,16.000,58,2026-03-17T20:47:28.532529
154,16.000,-0.126218,7.440,16.000,625,2026-03-17T20:47:28.628387
155,13.000,-0.192919,7.580,16.000,92,2026-03-17T20:47:28.651599
156,13.000,-0.194014,7.640,16.000,92,2026-03-17T20:47:28.674306
157,5.000,-0.161817,7.620,16.000,57,2026-03-17T20:47:28.693834
158,4.000,-0.102640,7.600,16.000,50,2026-03-17T20:47:28.712239
159,-1.000,-0.152830,7.600,16.000,37,2026-03-17T20:47:28.726638
160,-1.000,-0.151217,7.600,16.000,37,2026-03-17T20:47:28.752440
161,4.000,-0.103712,7.600,16.000,50,2026-03-17T20:47:28.772292
162,5.000,-0.166467,7.610,16.000,57,2026-03-17T20:47:28.793434
163,5.000,-0.166493,7.620,16.000,57,2026-03-17T20:47:28.805808
164,16.000,-0.116508,7.740,16.000,625,2026-03-17T20:47:28.902926
165,16.000,-0.116562,7.910,16.000,625,2026-03-17T20:47:29.003041
166,16.000,-0.117127,8.080,16.000,625,2026-03-17T20:47:29.097873
167,13.000,-0.196664,8.160,16.000,93,2026-03-17T20:47:29.111245
168,13.000,-0.199714,8.240,16.000,93,2026-03-17T20:47:29.138764
169,-1.000,-0.153836,8.070,16.000,37,2026-03-17T20:47:29.152647
170,16.000,-0.124450,8.100,16.000,625,2026-03-17T20:47:29.231071
171,16.000,-0.125302,8.210,16.000,625,2026-03-17T20:47:29.324692
172,16.000,-0.127050,8.320,16.000,625,2026-03-17T20:47:29.417431
173,16.000,-0.129601,8.360,16.000,625,2026-03-17T20:47:29.499050
174,16.000,-0.132714,8.400,16.000,625,2026-03-17T20:47:29.594437
175,13.000,-0.196720,8.390,16.000,92,2026-03-17T20:47:29.621796
176,-1.000,-0.151776,8.390,16.000,37,2026-03-17T20:47:29.636040
177,13.000,-0.196033,8.530,16.000,92,2026-03-17T20:47:29.658398
178,13.000,-0.195181,8.590,16.000,92,2026-03-17T20:47:29.689248
179,13.000,-0.196897,8.730,16.000,92,2026-03-17T20:47:29.718601
180,-1.000,-0.152456,8.650,16.000,37,2026-03-17T20:47:29.730612
181,13.000,-0.200704,8.710,16.000,92,2026-03-17T20:47:29.762022
182,16.000,-0.138886,8.800,16.000,625,2026-03-17T20:47:29.878005
183,16.000,-0.126727,8.970,16.000,625,2026-03-17T20:47:30.006707
184,12.000,-0.186857,9.100,16.000,85,2026-03-17T20:47:30.047755
185,12.000,-0.187524,9.150,16.000,85,2026-03-17T20:47:30.079177
186,12.000,-0.192299,9.200,16.000,85,2026-03-17T20:47:30.117588
187,-1.000,-0.148210,9.120,16.000,37,2026-03-17T20:47:30.133507
188,-1.000,-0.146860,9.040,16.000,37,2026-03-17T20:47:30.138439
189,12.000,-0.199746,9.170,16.000,85,2026-03-17T20:47:30.184071
190,12.000,-0.200737,9.160,16.000,85,2026-03-17T20:47:30.215552
191,13.000,-0.202926,9.130,16.000,93,2026-03-17T20:47:30.262316
192,13.000,-0.203737,9.100,16.000,93,2026-03-17T20:47:30.293234
193,-1.000,-0.149030,8.930,16.000,37,2026-03-17T20:47:30.298391
194,13.000,-0.205524,8.900,16.000,93,2026-03-17T20:47:30.328517
195,13.000,-0.206150,8.980,16.000,93,2026-03-17T20:47:30.370040
196,13.000,-0.206633,9.120,16.000,93,2026-03-17T20:47:30.402728
197,13.000,-0.209283,9.260,16.000,93,2026-03-17T20:47:30.433139
198,13.000,-0.210894,9.230,16.000,93,2026-03-17T20:47:30.461081
199,-1.000,-0.142977,9.060,16.000,37,2026-03-17T20:47:30.474047
200,-1.000,-0.144401,8.890,16.000,37,2026-03-17T20:47:30.484155
201,13.000,-0.208771,8.860,16.000,93,2026-03-17T20:47:30.512556
202,13.000,-0.207226,8.860,16.000,93,2026-03-17T20:47:30.537835
203,7.000,-0.183751,8.790,16.000,69,2026-03-17T20:47:30.560358
204,7.000,-0.194589,8.730,16.000,69,2026-03-17T20:47:30.581265
205,-1.000,-0.140814,8.590,16.000,37,2026-03-17T20:47:30.591761
206,-1.000,-0.138912,8.450,16.000,37,2026-03-17T20:47:30.605523
207,-1.000,-0.143898,8.310,16.000,37,2026-03-17T20:47:30.620777
208,6.000,-0.186051,8.380,16.000,64,2026-03-17T20:47:30.637350
209,7.000,-0.199595,8.460,16.000,69,2026-03-17T20:47:30.663913
210,7.000,-0.197510,8.540,16.000,69,2026-03-17T20:47:30.685134
211,7.000,-0.198391,8.450,16.000,69,2026-03-17T20:47:30.705242
212,14.000,-0.184430,8.430,16.000,94,2026-03-17T20:47:30.731567
213,14.000,-0.187105,8.450,16.000,94,2026-03-17T20:47:30.754965
214,14.000,-0.189785,8.540,16.000,94,2026-03-17T20:47:30.778557
215,13.000,-0.200476,8.550,16.000,93,2026-03-17T20:47:30.801970
216,14.000,-0.202908,8.570,16.000,94,2026-03-17T20:47:30.818354
217,-1.000,-0.145302,8.430,16.000,37,2026-03-17T20:47:30.831741
218,-1.000,-0.147003,8.260,16.000,37,2026-03-17T20:47:30.844990
219,13.000,-0.209326,8.400,16.000,93,2026-03-17T20:47:30.858460
220,13.000,-0.204219,8.540,16.000,92,2026-03-17T20:47:30.885154
221,13.000,-0.204839,8.680,16.000,92,2026-03-17T20:47:30.925999
222,13.000,-0.207851,8.820,16.000,93,2026-03-17T20:47:30.957118
223,-1.000,-0.145311,8.760,16.000,37,2026-03-17T20:47:30.965659
224,-1.000,-0.145453,8.590,16.000,37,2026-03-17T20:47:30.978945
225,5.000,-0.162117,8.590,16.000,57,2026-03-17T20:47:30.991787
226,5.000,-0.164655,8.590,16.000,57,2026-03-17T20:47:31.005148
227,5.000,-0.171823,8.590,16.000,57,2026-03-17T20:47:31.032160
228,13.000,-0.195572,8.670,16.000,93,2026-03-17T20:47:31.058601
229,5.000,-0.164040,8.670,16.000,57,2026-03-17T20:47:31.071931
230,-1.000,-0.143623,8.610,16.000,37,2026-03-17T20:47:31.085283
231,-1.000,-0.146048,8.440,16.000,37,2026-03-17T20:47:31.098638
232,16.000,-0.118624,8.530,16.000,625,2026-03-17T20:47:31.205346
233,14.000,-0.191644,8.600,16.000,94,2026-03-17T20:47:31.218656
234,13.000,-0.200023,8.660,16.000,93,2026-03-17T20:47:31.255609
235,13.000,-0.199297,8.800,16.000,93,2026-03-17T20:47:31.272398
236,13.000,-0.193202,8.940,16.000,93,2026-03-17T20:47:31.308002
237,13.000,-0.199572,9.080,16.000,93,2026-03-17T20:47:31.337484
238,13.000,-0.200118,9.170,16.000,93,2026-03-17T20:47:31.361839
239,13.000,-0.202109,9.140,16.000,93,2026-03-17T20:47:31.389780
240,13.000,-0.200601,9.130,16.000,93,2026-03-17T20:47:31.423415
241,4.000,-0.092170,9.030,16.000,50,2026-03-17T20:47:31.443728
242,4.000,-0.094591,8.950,16.000,50,2026-03-17T20:47:31.459334
243,-1.000,-0.136402,8.820,16.000,37,2026-03-17T20:47:31.472153
244,-1.000,-0.135108,8.670,16.000,37,2026-03-17T20:47:31.485462
245,-1.000,-0.140354,8.500,16.000,37,2026-03-17T20:47:31.501291
246,13.000,-0.204546,8.470,16.000,93,2026-03-17T20:47:31.525376
247,12.000,-0.200710,8.600,16.000,85,2026-03-17T20:47:31.552134
248,13.000,-0.202551,8.740,16.000,93,2026-03-17T20:47:31.581312
249,7.000,-0.219018,8.820,16.000,69,2026-03-17T20:47:31.602723
250,7.000,-0.224377,8.730,16.000,69,2026-03-17T20:47:31.623882
251,-1.000,-0.141372,8.560,16.000,37,2026-03-17T20:47:31.637101
252,-1.000,-0.141085,8.500,16.000,37,2026-03-17T20:47:31.648857
253,4.000,-0.098397,8.490,16.000,50,2026-03-17T20:47:31.668282
254,7.000,-0.216315,8.400,16.000,69,2026-03-17T20:47:31.689978
255,13.000,-0.202629,8.400,16.000,92,2026-03-17T20:47:31.717652
256,16.000,-0.123569,8.430,16.000,625,2026-03-17T20:47:31.805482
257,14.000,-0.201936,8.520,16.000,94,2026-03-17T20:47:31.819605
258,14.000,-0.206530,8.620,16.000,94,2026-03-17T20:47:31.854086
259,13.000,-0.204113,8.760,16.000,93,2026-03-17T20:47:31.880360
260,13.000,-0.205546,8.900,16.000,93,2026-03-17T20:47:31.898934
261,13.000,-0.210955,8.990,16.000,93,2026-03-17T20:47:31.926396
262,13.000,-0.212877,9.070,16.000,93,2026-03-17T20:47:31.956382
263,-1.000,-0.137258,9.010,16.000,37,2026-03-17T20:47:31.965497
264,-1.000,-0.136026,8.840,16.000,37,2026-03-17T20:47:31.965497
265,-1.000,-0.141585,8.670,16.000,37,2026-03-17T20:47:31.988698
266,12.000,-0.208100,8.630,16.000,85,2026-03-17T20:47:32.012128
267,12.000,-0.206168,8.620,16.000,85,2026-03-17T20:47:32.032134
268,12.000,-0.212689,8.610,16.000,84,2026-03-17T20:47:32.045613
269,12.000,-0.214384,8.740,16.000,85,2026-03-17T20:47:32.072269
270,16.000,-0.125364,8.740,16.000,625,2026-03-17T20:47:32.152272
271,16.000,-0.127038,8.740,16.000,625,2026-03-17T20:47:32.249780
272,13.000,-0.215215,8.710,16.000,93,2026-03-17T20:47:32.272276
273,-1.000,-0.138803,8.540,16.000,37,2026-03-17T20:47:32.285664
274,-1.000,-0.139273,8.370,16.000,37,2026-03-17T20:47:32.298462
275,7.000,-0.224910,8.310,16.000,69,2026-03-17T20:47:32.317830
276,7.000,-0.226803,8.390,16.000,69,2026-03-17T20:47:32.334522
277,14.000,-0.207835,8.400,16.000,94,2026-03-17T20:47:32.361596
278,14.000,-0.215960,8.410,16.000,94,2026-03-17T20:47:32.387780
279,14.000,-0.214125,8.420,16.000,94,2026-03-17T20:47:32.413127
280,14.000,-0.213668,8.570,16.000,94,2026-03-17T20:47:32.438354
281,16.000,-0.133018,8.600,16.000,625,2026-03-17T20:47:32.529338
282,16.000,-0.133157,8.600,16.000,625,2026-03-17T20:47:32.605688
283,16.000,-0.135605,8.600,16.000,625,2026-03-17T20:47:32.699108
284,12.000,-0.210421,8.600,16.000,85,2026-03-17T20:47:32.712497
285,13.000,-0.213380,8.610,16.000,92,2026-03-17T20:47:32.751957
286,7.000,-0.206646,8.560,16.000,69,2026-03-17T20:47:32.765793
287,-1.000,-0.128638,8.560,16.000,37,2026-03-17T20:47:32.779185
288,-1.000,-0.124739,8.560,16.000,37,2026-03-17T20:47:32.795904
289,-1.000,-0.126140,8.430,16.000,37,2026-03-17T20:47:32.808839
290,-1.000,-0.132819,8.300,16.000,37,2026-03-17T20:47:32.822221
291,13.000,-0.209896,8.300,16.000,92,2026-03-17T20:47:32.846487
292,16.000,-0.130107,8.330,16.000,625,2026-03-17T20:47:32.937460
293,13.000,-0.216040,8.470,16.000,92,2026-03-17T20:47:32.962218
294,13.000,-0.211823,8.470,16.000,92,2026-03-17T20:47:32.990182
295,13.000,-0.211365,8.470,16.000,92,2026-03-17T20:47:33.016451
296,13.000,-0.212352,8.470,16.000,92,2026-03-17T20:47:33.045253
297,13.000,-0.214640,8.470,16.000,92,2026-03-17T20:47:33.068273
298,13.000,-0.217949,8.470,16.000,92,2026-03-17T20:47:33.090688
299,16.000,-0.135342,8.640,16.000,625,2026-03-17T20:47:33.165951
300,16.000,-0.134339,8.810,16.000,625,2026-03-17T20:47:33.260431
301,13.000,-0.221736,8.810,16.000,93,2026-03-17T20:47:33.287847
302,-1.000,-0.137976,8.670,16.000,37,2026-03-17T20:47:33.300136
303,-1.000,-0.137326,8.590,16.000,37,2026-03-17T20:47:33.313149
