episode,episode_reward,episode_steps,timesteps,fps,timestamp
158,16.299999,2500,136808,0,2026-03-23T16:57:44.400042
159,7.960001,400,138392,0,2026-03-23T16:57:44.652650
160,19.890003,2500,138672,0,2026-03-23T16:57:44.672982
161,10.840000,485,140080,0,2026-03-23T16:57:44.917492
162,7.570001,489,140720,0,2026-03-23T16:57:44.958142
163,-0.660000,195,141640,0,2026-03-23T16:57:45.174582
164,-0.440000,184,142192,0,2026-03-23T16:57:45.209177
165,8.720000,571,143240,0,2026-03-23T16:57:45.276354
166,1.270000,234,144064,0,2026-03-23T16:57:45.480473
167,7.780001,382,144696,0,2026-03-23T16:57:45.522419
168,8.030001,371,146208,0,2026-03-23T16:57:45.775355
169,6.830000,373,147048,0,2026-03-23T16:57:45.828812
170,10.620000,460,148376,0,2026-03-23T16:57:46.067754
171,18.890001,2500,149416,0,2026-03-23T16:57:46.136207
172,20.980007,2500,150184,0,2026-03-23T16:57:46.340240
173,8.320000,430,150488,0,2026-03-23T16:57:46.360876
174,8.890000,473,152160,0,2026-03-23T16:57:46.613930
175,21.850002,803,152632,0,2026-03-23T16:57:46.651384
176,7.320000,444,152968,0,2026-03-23T16:57:46.725503
177,15.969998,2500,153288,0,2026-03-23T16:57:46.754237
178,10.620000,432,155616,0,2026-03-23T16:57:47.148953
179,9.520000,444,156184,0,2026-03-23T16:57:47.355005
180,14.969997,775,156384,0,2026-03-23T16:57:47.369249
181,32.590000,2500,156784,0,2026-03-23T16:57:47.396569
182,10.570001,520,157448,0,2026-03-23T16:57:47.441940
183,10.429998,621,157936,0,2026-03-23T16:57:47.628224
184,20.209999,2500,158392,0,2026-03-23T16:57:47.659812
185,1.690000,281,160184,0,2026-03-23T16:57:47.949819
186,10.189999,585,160864,0,2026-03-23T16:57:47.995170
187,6.670001,488,161352,0,2026-03-23T16:57:48.028584
188,14.879997,744,161568,0,2026-03-23T16:57:48.043054
189,-0.460000,186,162352,0,2026-03-23T16:57:48.258230
190,11.529999,674,163784,0,2026-03-23T16:57:48.354938
191,13.199999,615,167272,0,2026-03-23T16:57:48.893114
192,16.749998,740,167488,0,2026-03-23T16:57:48.907148
193,14.619997,731,169632,0,2026-03-23T16:57:49.199130
194,2.670000,288,169792,0,2026-03-23T16:57:49.209196
195,7.510000,377,170288,0,2026-03-23T16:57:49.394321
196,22.399998,2500,170488,0,2026-03-23T16:57:49.408641
197,7.930000,418,172976,0,2026-03-23T16:57:49.728697
198,7.790001,408,173552,0,2026-03-23T16:57:49.768999
199,9.990000,422,173864,0,2026-03-23T16:57:49.788517
200,19.570004,686,175280,0,2026-03-23T16:57:50.032223
201,8.280001,404,176208,0,2026-03-23T16:57:50.248808
202,22.289999,2500,176384,0,2026-03-23T16:57:50.260806
203,21.720001,2500,176784,0,2026-03-23T16:57:50.290167
204,3.100000,286,177568,0,2026-03-23T16:57:50.345209
205,10.269999,533,177816,0,2026-03-23T16:57:50.362584
206,-1.220000,149,177976,0,2026-03-23T16:57:50.374628
207,8.130000,411,179496,0,2026-03-23T16:57:50.630906
208,8.620000,429,179816,0,2026-03-23T16:57:50.653785
209,15.189997,766,179992,0,2026-03-23T16:57:50.665938
210,20.709997,2500,180184,0,2026-03-23T16:57:50.680072
211,-0.510000,191,181024,0,2026-03-23T16:57:50.908958
212,23.059999,2500,181352,0,2026-03-23T16:57:50.930863
213,11.659998,621,182536,0,2026-03-23T16:57:51.160044
214,9.490000,380,182856,0,2026-03-23T16:57:51.183108
215,-0.290000,189,182864,0,2026-03-23T16:57:51.183962
216,12.769998,698,183560,0,2026-03-23T16:57:51.231717
217,6.180000,383,184088,0,2026-03-23T16:57:51.268791
218,9.289999,542,184328,0,2026-03-23T16:57:51.444500
219,8.490000,382,186616,0,2026-03-23T16:57:51.817248
220,10.029999,571,187424,0,2026-03-23T16:57:51.872547
221,10.629999,614,187448,0,2026-03-23T16:57:51.874569
222,11.000000,521,188496,0,2026-03-23T16:57:52.103773
223,-0.290000,191,188952,0,2026-03-23T16:57:52.139245
224,11.910000,622,189064,0,2026-03-23T16:57:52.147125
225,7.860000,380,190488,0,2026-03-23T16:57:52.403844
226,0.540000,204,190584,0,2026-03-23T16:57:52.410534
227,12.250000,509,190688,0,2026-03-23T16:57:52.417512
228,8.330000,376,191504,0,2026-03-23T16:57:52.472312
229,-0.460000,181,192136,0,2026-03-23T16:57:52.514188
230,12.449997,644,194216,0,2026-03-23T16:57:52.812213
231,8.080000,378,194528,0,2026-03-23T16:57:52.832154
232,9.859998,602,195400,0,2026-03-23T16:57:53.045849
233,11.840000,474,195928,0,2026-03-23T16:57:53.079738
234,21.179998,767,196624,0,2026-03-23T16:57:53.275005
235,21.690002,2500,197816,0,2026-03-23T16:57:53.353758
236,7.780001,378,198424,0,2026-03-23T16:57:53.398671
237,19.879997,2500,200184,0,2026-03-23T16:57:53.691261
238,9.990000,477,200440,0,2026-03-23T16:57:53.708486
239,21.609999,2500,202864,0,2026-03-23T16:57:54.195956
240,12.259997,670,203784,0,2026-03-23T16:57:54.260193
241,12.870001,519,204336,0,2026-03-23T16:57:54.297521
242,8.520000,572,205016,0,2026-03-23T16:57:54.499868
