episode,episode_reward,episode_steps,timesteps,fps,timestamp,seed
181,7.830001,485,155944,0,2026-03-23T17:32:49.247025,50061
182,20.720001,2500,157280,0,2026-03-23T17:32:49.330644,10061
183,10.360001,580,157448,0,2026-03-23T17:32:49.341094,40064
184,24.929998,601,158840,0,2026-03-23T17:32:49.570995,30070
185,1.640000,274,159640,0,2026-03-23T17:32:49.621719,40065
186,7.700001,580,161920,0,2026-03-23T17:32:50.053331,10062
187,16.820002,2500,161960,0,2026-03-23T17:32:50.056145,70057
188,31.839996,814,162456,0,2026-03-23T17:32:50.087368,50062
189,10.240001,533,163104,0,2026-03-23T17:32:50.127861,30071
190,0.480000,205,163560,0,2026-03-23T17:32:50.156332,10063
191,19.240002,686,165128,0,2026-03-23T17:32:50.404028,40066
192,11.150002,594,166712,0,2026-03-23T17:32:50.649882,70058
193,22.980000,541,167888,0,2026-03-23T17:32:50.724016,10064
194,18.110003,2500,168104,0,2026-03-23T17:32:50.882023,20071
195,20.460003,812,168952,0,2026-03-23T17:32:50.936770,50063
196,15.430002,2500,170656,0,2026-03-23T17:32:51.184646,66
197,25.260000,610,172768,0,2026-03-23T17:32:51.461515,10065
198,34.480000,763,174208,0,2026-03-23T17:32:51.688211,20072
199,-0.280000,181,174216,0,2026-03-23T17:32:51.689033,10066
200,18.490002,2500,174576,0,2026-03-23T17:32:51.710922,60074
201,-1.240000,149,175400,0,2026-03-23T17:32:51.763712,20073
202,7.210000,439,177728,0,2026-03-23T17:32:52.060735,10067
203,5.820001,424,177968,0,2026-03-23T17:32:52.076019,60075
204,4.110001,414,178712,0,2026-03-23T17:32:52.270992,20074
205,21.210003,2500,183104,0,2026-03-23T17:32:52.812221,30072
206,12.990002,656,183960,0,2026-03-23T17:32:52.863054,20075
207,35.679996,2500,185128,0,2026-03-23T17:32:53.074369,40067
208,21.430004,2500,186712,0,2026-03-23T17:32:53.315790,70059
209,10.990001,610,188840,0,2026-03-23T17:32:53.588851,20076
210,16.380001,2500,188952,0,2026-03-23T17:32:53.596092,50064
211,10.780002,607,189984,0,2026-03-23T17:32:53.660449,40068
212,23.180002,2500,190656,0,2026-03-23T17:32:53.847896,67
213,-0.580000,184,192128,0,2026-03-23T17:32:53.942159,68
214,15.900002,778,192936,0,2026-03-23T17:32:54.155950,70060
215,-1.240000,149,194128,0,2026-03-23T17:32:54.245138,70061
216,12.210001,615,194904,0,2026-03-23T17:32:54.486348,40069
217,26.880001,782,195096,0,2026-03-23T17:32:54.500439,20077
218,20.140007,2500,197728,0,2026-03-23T17:32:54.841636,10068
219,23.850006,2500,197968,0,2026-03-23T17:32:54.857065,60076
220,20.690001,460,198584,0,2026-03-23T17:32:54.906137,40070
221,-0.280000,187,199464,0,2026-03-23T17:32:55.109004,60077
222,43.699993,704,199760,0,2026-03-23T17:32:55.127695,70062
223,13.910001,624,202720,0,2026-03-23T17:32:55.463151,10069
224,21.070009,2500,203104,0,2026-03-23T17:32:55.634057,30073
225,26.590000,613,204664,0,2026-03-23T17:32:55.730750,70063
226,11.490001,652,204680,0,2026-03-23T17:32:55.732073,60078
227,21.570002,769,204736,0,2026-03-23T17:32:55.735682,40071
228,29.119999,639,207832,0,2026-03-23T17:32:56.223328,10070
229,37.659985,2500,208952,0,2026-03-23T17:32:56.444690,50065
230,11.550000,577,209280,0,2026-03-23T17:32:56.466007,70064
231,39.099995,609,209552,0,2026-03-23T17:32:56.483143,60079
232,16.850000,809,209576,0,2026-03-23T17:32:56.485085,30074
233,-0.430000,191,210808,0,2026-03-23T17:32:56.566905,70065
234,1.680000,275,211752,0,2026-03-23T17:32:56.782379,60080
235,19.540003,2500,212128,0,2026-03-23T17:32:56.806996,69
236,3.350000,347,212352,0,2026-03-23T17:32:56.821847,30075
237,20.890005,2500,215096,0,2026-03-23T17:32:57.291065,20078
238,23.559999,836,217496,0,2026-03-23T17:32:57.583610,70066
239,18.900002,801,218160,0,2026-03-23T17:32:57.623639,60081
240,9.270001,602,222312,0,2026-03-23T17:32:58.146773,70067
241,29.550001,727,223976,0,2026-03-23T17:32:58.386043,60082
242,32.139996,2500,224736,0,2026-03-23T17:32:58.429456,40072
243,25.880001,610,227192,0,2026-03-23T17:32:58.719205,70068
244,6.380000,450,227576,0,2026-03-23T17:32:58.891980,60083
245,21.870005,2500,227832,0,2026-03-23T17:32:58.907065,10071
246,4.670000,398,227920,0,2026-03-23T17:32:58.912733,40073
247,35.509995,2500,228952,0,2026-03-23T17:32:58.977066,50066
248,1.390000,260,229912,0,2026-03-23T17:32:59.196498,10072
249,7.630000,529,231424,0,2026-03-23T17:32:59.291108,70069
250,31.300003,2500,232128,0,2026-03-23T17:32:59.480709,70
251,37.089993,2500,232352,0,2026-03-23T17:32:59.495400,30076
252,11.580001,604,232752,0,2026-03-23T17:32:59.522464,40074
253,13.630000,697,233152,0,2026-03-23T17:32:59.550052,60084
254,30.410002,2500,235096,0,2026-03-23T17:32:59.824255,20079
255,12.440001,761,236000,0,2026-03-23T17:33:00.027244,10073
256,17.449999,715,237144,0,2026-03-23T17:33:00.099790,70070
257,8.400001,567,237288,0,2026-03-23T17:33:00.109347,40075
258,9.560000,620,237312,0,2026-03-23T17:33:00.111190,30077
259,36.050003,852,238944,0,2026-03-23T17:33:00.362502,71
260,16.200001,726,240904,0,2026-03-23T17:33:00.631364,20080
261,23.870001,560,241768,0,2026-03-23T17:33:00.830872,40076
262,5.970000,466,244632,0,2026-03-23T17:33:01.155488,20081
263,21.800003,2500,248952,0,2026-03-23T17:33:01.703188,50067
264,-0.570000,189,250464,0,2026-03-23T17:33:01.937987,50068
265,31.040001,837,251328,0,2026-03-23T17:33:01.986601,20082
266,39.339993,2500,253152,0,2026-03-23T17:33:02.236458,60085
267,35.159996,2500,256000,0,2026-03-23T17:33:02.545849,10074
268,35.009987,2500,257144,0,2026-03-23T17:33:02.755220,70071
